id,composerkey,title,genre,form,performer,pageurl,mediaurl
1966,LISZTFRANZ,?,classical,30,Philadelphia Symphony Orchestra,https://archive.org/details/VrsAcoustics-74647-PhiladelphiaSymphonyOrchestra,https://archive.org/download/VrsAcoustics-74647-PhiladelphiaSymphonyOrchestra/PhilSymph_74647_64kb.mp3
306,LISZTFRANZ,?,classical,30,Emmy Destinn,https://archive.org/details/VrsAcoustics-88568-EmmyDestinn,https://archive.org/download/VrsAcoustics-88568-EmmyDestinn/Destinn_88568_64kb.mp3
1997,LISZTFRANZ,?,classical,30,Olga Samaroff,https://archive.org/details/VrsAcoustics-74794-OlgaSamaroff,https://archive.org/download/VrsAcoustics-74794-OlgaSamaroff/Samaroff_74794_64kb.mp3
1999,LISZTFRANZ,?,classical,30,Ignace Jan Paderewski,https://archive.org/details/VrsAcoustics-7480574806-IgnaceJanPaderewski,https://archive.org/download/VrsAcoustics-7480574806-IgnaceJanPaderewski/Paderewski_74805-06_64kb.mp3
1799,LISZTFRANZ,?,classical,30,Olga Samaroff,https://archive.org/details/VrsAcoustics-6450-OlgaSamaroff,https://archive.org/download/VrsAcoustics-6450-OlgaSamaroff/Samaroff_6450_64kb.mp3
2954,MASCAGNIPIETRO,Addio Alla Madre,classical,30,,https://archive.org/details/Addio_Alla_Madre,https://archive.org/download/Addio_Alla_Madre/Addio_Alla_Madre_64kb.mp3
1916,MASCAGNIPIETRO,?,classical,30,Giovanni Martinelli,https://archive.org/details/VrsAcoustics-74426-GiovanniMartinelli,https://archive.org/download/VrsAcoustics-74426-GiovanniMartinelli/Martinelli_74426_64kb.mp3
9683,MASCAGNIPIETRO,Musica Proibita,classical,30,,https://archive.org/details/Musica_Proibita,https://archive.org/download/Musica_Proibita/Caruso_Musica_Probita_64kb.mp3
1911,MASSENETJULES,?,classical,30,Mischa Elman,https://archive.org/details/VrsAcoustics-74341-MischaElman,https://archive.org/download/VrsAcoustics-74341-MischaElman/Elman_74341_64kb.mp3
5094,MASSENETJULES,Chiudi gli Occhi,classical,30,,https://archive.org/details/Chiudi_gli_Occhi,https://archive.org/download/Chiudi_gli_Occhi/Chiudi_Gli_Occhi_64kb.mp3
2007,MENDELSSOHNBARTHOLDY,?,classical,30,Maud Powell,https://archive.org/details/VrsAcoustics-85040-MaudPowell,https://archive.org/download/VrsAcoustics-85040-MaudPowell/Powell_85040_64kb.mp3
