 id  |         key          |                    name                    | timebegin | timeend |         place         |                                                                 comment                                                                  
  59 | MESSIAENOLIVIER      | Messiaen, Olivier                          |      1908 |    1992 | Paris                 | French; mainly Paris-based from c1920
  60 | MEYERBEERGIACOMO     | Meyerbeer, Giacomo                         |      1791 |    1864 | Germany               | German-French
  61 | MILHAUDDARIUS        | Milhaud, Darius                            |      1892 |    1974 | France                | French; mainly U.S.-based 1940-71
  62 | MONTEVERDICLAUDIO    | Monteverdi, Claudio                        |      1567 |    1643 | Venice                | Italian; Venice-based from 1613
  63 | MOZARTWOLFGANGAMADEU | Mozart, Wolfgang Amadeus                   |      1756 |    1791 | Vienna                | Austrian; mainly Vienna-based, with significant stays in Salzburg, Milan, Paris, Munich & Prague
  64 | MUSSORGSKYMUSORGSKYE | Mussorgsky [Musorgsky, etc.], Modest       |      1835 |    1881 | St. Petersburg        | Russian; mainly St. Petersburg-based from c1849
  65 | NIELSENCARL          | Nielsen, Carl                              |      1865 |    1931 | Copenhagen            | Danish; mainly Copenhagen-based from 1884
  66 | OFFENBACHJACQUES     | Offenbach, Jacques                         |      1819 |    1880 | Paris                 | German-French; Paris-based from 1833
  67 | ORFFCARL             | Orff, Carl                                 |      1895 |    1982 | Munich                | German; Munich-based
  68 | PACHELBELJOHANN      | Pachelbel, Johann                          |      1653 |    1706 | Germany               | German
  69 | PAGANININICOLÒ       | Paganini, Nicolò                           |      1782 |    1840 | Italy                 | Italian
  70 | PALESTRINAGIOVANNIPI | Palestrina, Giovanni Pierluigi da          |      1525 |    1594 | Rome                  | Italian; Rome-based
  71 | PIAZZOLLAASTOR       | Piazzolla, Astor                           |      1921 |    1992 | Argentina             | Argentinian
  72 | POULENCFRANCIS       | Poulenc, Francis                           |      1899 |    1963 | Paris                 | French; Paris-based
  73 | PROKOFIEVSERGEI      | Prokofiev, Sergei                          |      1891 |    1953 | Moscow                | Russian; Paris-based 1920-36, Moscow-based thereafter
  74 | PUCCINIGIACOMO       | Puccini, Giacomo                           |      1858 |    1924 | Torre del Lago, Italy | Italian; from 1891 mainly Torre del Lago-based
  75 | PURCELLHENRY         | Purcell, Henry                             |      1658 |    1695 | London                | British; London-based from c1667
  76 | RACHMANINOVSERGEI    | Rachmaninov, Sergei                        |      1873 |    1943 | Russia                | Russian-American; mainly U.S.-based from 1918
  77 | RAMEAUJEANPHILIPPE   | Rameau, Jean-Philippe                      |      1683 |    1764 | Paris                 | French; Paris-based from c1722
  78 | RAVELMAURICE         | Ravel, Maurice                             |      1875 |    1937 | Paris                 | French; mainly Paris-based
  79 | REGERMAX             | Reger, Max                                 |      1873 |    1916 | Germany               | German
  80 | RIMSKYKORSAKOVNIKOLA | Rimsky-Korsakov, Nikolay                   |      1844 |    1908 | St. Petersburg        | Russian; mainly St. Petersburg-based from 1856
  81 | RODRIGOJOAQUÍN       | Rodrigo, Joaquín                           |      1901 |    1999 | Madrid                | Spanish; Madrid-based from 1939
  82 | ROSSINIGIOACHINO     | Rossini, Gioachino                         |      1792 |    1868 | Italy                 | Italian
  83 | SAINTSAËNSCHARLESCAM | Saint-Saëns, (Charles-)Camille             |      1835 |    1921 | Paris                 | French; mainly Paris-based
  84 | SATIEERIK            | Satie, Erik                                |      1866 |    1925 | Paris                 | French; Paris-based from 1878
  85 | SCARLATTIALESSANDRO  | Scarlatti, Alessandro                      |      1660 |    1725 | Naples                | Italian; Rome- & Naples-based from 1672
  86 | SCARLATTIDOMENICO    | Scarlatti, Domenico                        |      1685 |    1757 | Naples                | Italian-Spanish; Naples-, Rome- & Venice-based to c1719; thereafter in Portugal & Spain
  87 | SCHOENBERGARNOLD     | Schoenberg, Arnold                         |      1874 |    1951 | Vienna                | Austrian-American; mainly Vienna-based to 1933; U.S.-based thereafter, mainly in Los Angeles
  88 | SCHUBERTFRANZ        | Schubert, Franz                            |      1797 |    1828 | Vienna                | Austrian; Vienna-based
  89 | SCHUMANNROBERT       | Schumann, Robert                           |      1810 |    1856 | Lepzig                | German; in later years lived in Leipzig, Dresden & Dusseldorf
  90 | SCHÜTZHEINRICH       | Schütz, Heinrich                           |      1585 |    1672 | Dresden               | German; intermittently Dresden-based from 1615
  91 | SCRIABINSKRYABINALEX | Scriabin [Skryabin], Alexander [Aleksandr] |      1872 |    1915 | Moscow                | Russian; Moscow-based to 1903
  92 | SHOSTAKOVICHDMITRY   | Shostakovich, Dmitry                       |      1906 |    1975 | St. Petersburg        | Russian; mainly St. Petersburg- & Moscow-based
  93 | SIBELIUSJEAN         | Sibelius, Jean                             |      1865 |    1957 | Lake Tuusula, Finland | Finnish; from 1904 resided near Lake Tuusula
  94 | SMETANABEDRICH       | Smetana, Bedrich                           |      1824 |    1884 | Prague                | Bohemian; mainly Prague-based from 1838
  95 | STOCKHAUSENKARLHEINZ | Stockhausen, Karlheinz                     |      1928 |    2007 | Cologne               | German; lived near Cologne from 1965
  96 | STRAUSSJOHANNJR      | Strauss, Johann Jr.                        |      1825 |    1899 | Vienna                | Austrian; Vienna-based
  97 | STRAUSSRICHARD       | Strauss, Richard                           |      1864 |    1949 | Germany               | German
  98 | STRAVINSKYIGOR       | Stravinsky, Igor                           |      1882 |    1971 | Paris                 | Russian-French-American; Paris-based 1911-39, U.S.-based thereafter
  99 | SULLIVANARTHUR       | Sullivan, Arthur                           |      1842 |    1900 | London                | British; London-based
 100 | TCHAIKOVSKYPYOTRILYI | Tchaikovsky, Pyotr Il'yich                 |      1840 |    1893 | St. Petersburg        | Russian; mainly St. Petersburg- & Moscow-based from 1850
 101 | TELEMANNGEORGPHILIPP | Telemann, Georg Philipp                    |      1681 |    1767 | Hamburg               | German; Hamburg-based from 1721
 102 | VAUGHANWILLIAMSRALPH | Vaughan Williams, Ralph                    |      1872 |    1958 | London                | British; mainly London-based
 103 | VERDIGIUSEPPE        | Verdi, Giuseppe                            |      1813 |    1901 | North Italy           | Italian; mainly North Italy-based
 104 | VILLALOBOSHEITOR     | Villa-Lobos, Heitor                        |      1887 |    1959 | Rio de Janeiro        | Brazilian; mainly Rio de Janeiro-based (Paris-based 1923-30)
 105 | VIVALDIANTONIO       | Vivaldi, Antonio                           |      1678 |    1741 | Venice                | Italian; mainly Venice-based
 106 | WAGNERRICHARD        | Wagner, Richard                            |      1813 |    1883 | Germany               | German
 107 | WALTONWILLIAM        | Walton, William                            |      1902 |    1983 | England               | British; from 1956 Italy-based
 108 | WEBERCARLMARIAVON    | Weber, Carl Maria von                      |      1786 |    1826 | Germany               | German
 109 | WEBERNANTONVON       | Webern, Anton (von)                        |      1883 |    1945 | Vienna                | Austrian; mainly Vienna-based
 110 | WEILLKURT            | Weill, Kurt                                |      1900 |    1950 | Germany               | German-American; U.S.-based from 1935
 111 | WOLFHUGO             | Wolf, Hugo                                 |      1860 |    1903 | Vienna                | Austrian; mainly Vienna-based from 1875
(111 rows)

