id|source|sourceid|composerkey|title|genre|form|sourcetitle|performer
 10263 | 78rpm  | PaulWhiteman-520-530                                    | GERSHWINGEORGE       | Paul Whiteman-520-530                                                  | jazz      | 30              | Paul Whiteman-520-530                                                  | 
 10259 | 78rpm  | PaulWhiteman-480-490                                    | GERSHWINGEORGE       | Paul Whiteman-480-490                                                  | jazz      | 30              | Paul Whiteman-480-490                                                  | 
 10265 | 78rpm  | PaulWhiteman-530-540                                    | GERSHWINGEORGE       | Paul Whiteman-530-540                                                  | jazz      | 30              | Paul Whiteman-530-540                                                  | 
 10258 | 78rpm  | PaulWhiteman-470-480                                    | GERSHWINGEORGE       | Paul Whiteman-470-480                                                  | jazz      | 30              | Paul Whiteman-470-480                                                  | 
 10269 | 78rpm  | PaulWhiteman-550-560                                    | GERSHWINGEORGE       | Paul Whiteman-550-560                                                  | jazz      | 30              | Paul Whiteman-550-560                                                  | 
 10271 | 78rpm  | PaulWhiteman-560-570                                    | GERSHWINGEORGE       | Paul Whiteman-560-570                                                  | jazz      | 30              | Paul Whiteman-560-570                                                  | 
 10272 | 78rpm  | PaulWhiteman-61-70                                      | GERSHWINGEORGE       | Paul Whiteman-61-70                                                    | jazz      | 30              | Paul Whiteman-61-70                                                    | 
 10276 | 78rpm  | PaulWhiteman-71-80                                      | GERSHWINGEORGE       | Paul Whiteman-71-80                                                    | jazz      | 30              | Paul Whiteman-71-80                                                    | 
 10277 | 78rpm  | PaulWhiteman-81-90                                      | GERSHWINGEORGE       | Paul Whiteman-81-90                                                    | jazz      | 30              | Paul Whiteman-81-90                                                    | 
 10278 | 78rpm  | PaulWhiteman-91-100                                     | GERSHWINGEORGE       | Paul Whiteman-91-100                                                   | jazz      | 30              | Paul Whiteman-91-100                                                   | 
 10251 | 78rpm  | PaulWhiteman-410-420                                    | GERSHWINGEORGE       | Paul Whiteman-410-420                                                  | jazz      | 30              | Paul Whiteman-410-420                                                  | 
 10244 | 78rpm  | PaulWhiteman-341-350                                    | GERSHWINGEORGE       | Paul Whiteman-341-350                                                  | jazz      | 30              | Paul Whiteman-341-350                                                  | 
 10245 | 78rpm  | PaulWhiteman-351-360                                    | GERSHWINGEORGE       | Paul Whiteman-351-360                                                  | jazz      | 30              | Paul Whiteman-351-360                                                  | 
 10246 | 78rpm  | PaulWhiteman-361-370                                    | GERSHWINGEORGE       | Paul Whiteman-361-370                                                  | jazz      | 30              | Paul Whiteman-361-370                                                  | 
 10247 | 78rpm  | PaulWhiteman-371-380                                    | GERSHWINGEORGE       | Paul Whiteman-371-380                                                  | jazz      | 30              | Paul Whiteman-371-380                                                  | 
 10248 | 78rpm  | PaulWhiteman-381-390                                    | GERSHWINGEORGE       | Paul Whiteman-381-390                                                  | jazz      | 30              | Paul Whiteman-381-390                                                  | 
 10260 | 78rpm  | PaulWhiteman-490-500                                    | GERSHWINGEORGE       | Paul Whiteman-490-500                                                  | jazz      | 30              | Paul Whiteman-490-500                                                  | 
 10250 | 78rpm  | PaulWhiteman-400-410                                    | GERSHWINGEORGE       | Paul Whiteman-400-410                                                  | jazz      | 30              | Paul Whiteman-400-410                                                  | 
 10243 | 78rpm  | PaulWhiteman-331-340                                    | GERSHWINGEORGE       | Paul Whiteman-331-340                                                  | jazz      | 30              | Paul Whiteman-331-340                                                  | 
 10228 | 78rpm  | PaulWhiteman-191-200                                    | GERSHWINGEORGE       | Paul Whiteman-191-200                                                  | jazz      | 30              | Paul Whiteman-191-200                                                  | 
 10253 | 78rpm  | PaulWhiteman-420-430                                    | GERSHWINGEORGE       | Paul Whiteman-420-430                                                  | jazz      | 30              | Paul Whiteman-420-430                                                  | 
 10217 | 78rpm  | PaulWhiteman-01-10                                      | GERSHWINGEORGE       | Paul Whiteman-01-10                                                    | jazz      | 30              | Paul Whiteman-01-10                                                    | 
 10255 | 78rpm  | PaulWhiteman-440-450                                    | GERSHWINGEORGE       | Paul Whiteman-440-450                                                  | jazz      | 30              | Paul Whiteman-440-450                                                  | 
 10256 | 78rpm  | PaulWhiteman-450-460                                    | GERSHWINGEORGE       | Paul Whiteman-450-460                                                  | jazz      | 30              | Paul Whiteman-450-460                                                  | 
 10257 | 78rpm  | PaulWhiteman-460-470                                    | GERSHWINGEORGE       | Paul Whiteman-460-470                                                  | jazz      | 30              | Paul Whiteman-460-470                                                  | 
 10249 | 78rpm  | PaulWhiteman-391-400                                    | GERSHWINGEORGE       | Paul Whiteman-391-400                                                  | jazz      | 30              | Paul Whiteman-391-400                                                  | 
 10221 | 78rpm  | PaulWhiteman-121-130                                    | GERSHWINGEORGE       | Paul Whiteman-121-130                                                  | jazz      | 30              | Paul Whiteman-121-130                                                  | 
 10224 | 78rpm  | PaulWhiteman-151-160                                    | GERSHWINGEORGE       | Paul Whiteman-151-160                                                  | jazz      | 30              | Paul Whiteman-151-160                                                  | 
 10223 | 78rpm  | PaulWhiteman-141-150                                    | GERSHWINGEORGE       | Paul Whiteman-141-150                                                  | jazz      | 30              | Paul Whiteman-141-150                                                  | 
 10225 | 78rpm  | PaulWhiteman-161-170                                    | GERSHWINGEORGE       | Paul Whiteman-161-170                                                  | jazz      | 30              | Paul Whiteman-161-170                                                  | 
 10227 | 78rpm  | PaulWhiteman-181-190                                    | GERSHWINGEORGE       | Paul Whiteman-181-190                                                  | jazz      | 30              | Paul Whiteman-181-190                                                  | 
 10222 | 78rpm  | PaulWhiteman-131-140                                    | GERSHWINGEORGE       | Paul Whiteman-131-140                                                  | jazz      | 30              | Paul Whiteman-131-140                                                  | 
 10028 | 78rpm  | PaulWhiteman-570-580                                    | GERSHWINGEORGE       | Paul Whiteman-570-580                                                  | jazz      | 30              | Paul Whiteman-570-580                                                  | 
 10218 | 78rpm  | PaulWhiteman-101-110                                    | GERSHWINGEORGE       | Paul Whiteman-101-110                                                  | jazz      | 30              | Paul Whiteman-101-110                                                  | 
 10219 | 78rpm  | PaulWhiteman-111-120                                    | GERSHWINGEORGE       | Paul Whiteman-111-120                                                  | jazz      | 30              | Paul Whiteman-111-120                                                  | 
 10220 | 78rpm  | PaulWhiteman-11-20                                      | GERSHWINGEORGE       | Paul Whiteman-11-20                                                    | jazz      | 30              | Paul Whiteman-11-20                                                    | 
 10226 | 78rpm  | PaulWhiteman-171-180                                    | GERSHWINGEORGE       | Paul Whiteman-171-180                                                  | jazz      | 30              | Paul Whiteman-171-180                                                  | 
  7946 | 78rpm  | Ingemisco                                               | VERDIGIUSEPPE        | Ingemisco                                                              | classical | 30              | Ingemisco                                                              | 
